threshold,strong_threshold,block_size,n_blocks,n_bootstrap,n_pairs,strong_not_majority_fraction,strong_not_majority_fraction_q025,strong_not_majority_fraction_q50,strong_not_majority_fraction_q975,strong_not_majority_fraction_boot_mean,strong_population_not_majority_fraction,strong_population_not_majority_fraction_q025,strong_population_not_majority_fraction_q50,strong_population_not_majority_fraction_q975,strong_population_not_majority_fraction_boot_mean,strong_builtup_not_majority_fraction,strong_builtup_not_majority_fraction_q025,strong_builtup_not_majority_fraction_q50,strong_builtup_not_majority_fraction_q975,strong_builtup_not_majority_fraction_boot_mean,strong_vs_nonstrong_not_majority_odds_ratio,strong_vs_nonstrong_not_majority_odds_ratio_q025,strong_vs_nonstrong_not_majority_odds_ratio_q50,strong_vs_nonstrong_not_majority_odds_ratio_q975,strong_vs_nonstrong_not_majority_odds_ratio_boot_mean
0.2,3.0,5,797,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013830876047688862,2.747890674904105e-05,0.0001375061962023221,0.0003077435350315451,0.0001369440488056376
0.2,3.0,10,218,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013830876047688862,2.6908050085549654e-05,0.0001374192678419397,0.0003670341677705206,0.00014010740197747663
0.2,3.0,20,63,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013830876047688862,2.5545627119950906e-05,0.00013406265035071778,0.0003651423350014288,0.00013466750494756514
0.2,5.0,5,797,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01513322289917736,0.010747616505332007,0.015267379403907017,0.020363666632556492,0.015285639579251983
0.2,5.0,10,218,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01513322289917736,0.00939586783463959,0.015125509160750703,0.022973668163177377,0.015314191230271178
0.2,5.0,20,63,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01513322289917736,0.005667064205599764,0.014843506642616824,0.030764160931882892,0.015427360883075694
0.2,10.0,5,797,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1352388826551705,1.0297272008688874,1.1285823982059047,1.2455281803736635,1.1336289619957562
0.2,10.0,10,218,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1352388826551705,0.9527825778085186,1.137330850223656,1.3535680485646278,1.1396853976424597
0.2,10.0,20,63,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1352388826551705,0.8788080635994449,1.1366954586939526,1.4651836312233562,1.1482963397096912
0.3,3.0,5,797,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013830876047688862,2.7530727735525936e-05,0.0001380719647917702,0.0003040530378231391,0.00013965720214588145
0.3,3.0,10,218,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013830876047688862,2.6707047789666057e-05,0.000137275911998644,0.0003736158192703561,0.00013929817131792807
0.3,3.0,20,63,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013830876047688862,2.5619282103034366e-05,0.00013430390287141745,0.00037316038572228575,0.00013109629059588753
0.3,5.0,5,797,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01513322289917736,0.010219424269691212,0.014792218218755034,0.020602805114578415,0.014979215727475736
0.3,5.0,10,218,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01513322289917736,0.009465960719417165,0.014748194645975557,0.021290521980340725,0.01499963730191325
0.3,5.0,20,63,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01513322289917736,0.0056955901324626254,0.014097460473558558,0.029714135333054777,0.01480365937261444
0.3,10.0,5,797,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1352388826551705,1.0444762737246407,1.142157910447914,1.252001675464603,1.1403237527322665
0.3,10.0,10,218,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1352388826551705,0.9670993189338778,1.1243208896028842,1.3362571659478129,1.131163659231986
0.3,10.0,20,63,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1352388826551705,0.8220969521162321,1.12089381369664,1.4842680250262856,1.1330405538434025
0.4,3.0,5,797,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013830876047688862,2.7470567355541426e-05,0.00013778281970230156,0.00030551736818391114,0.00013437442644628517
0.4,3.0,10,218,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013830876047688862,2.6784195869154344e-05,0.00013650758992374317,0.0003676858790885537,0.000131661050380583
0.4,3.0,20,63,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013830876047688862,2.5503114985954284e-05,0.00013427272374147049,0.0003611208109558081,0.000124476337624531
0.4,5.0,5,797,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01513322289917736,0.010075525773093856,0.01509241434293122,0.02071410487692416,0.015233364373281408
0.4,5.0,10,218,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01513322289917736,0.009262555190327832,0.01492830449153243,0.02290574966793809,0.01520754960406049
0.4,5.0,20,63,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01513322289917736,0.005698555088177473,0.014642613131351992,0.028953817594039026,0.015245998109608479
0.4,10.0,5,797,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1352388826551705,1.0295016548329965,1.1287746091851918,1.2443385621974734,1.1350640193626813
0.4,10.0,10,218,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1352388826551705,0.9600912735572877,1.1337183178433843,1.3637384579857017,1.1399667899380692
0.4,10.0,20,63,400,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1352388826551705,0.84443504012491,1.141023959959274,1.5128878744072412,1.15756439341368
