aoi_id,aoi_name,priority,role,reason,query_kind,purpose,payload_json
po_venice_broad,Po Basin and Venice,A,EGMS benchmark for Po/Venice LiCSAR observability bias,European high-quality benchmark overlapping the Po delta and Venice subsidence literature.,l3_ortho_up,Primary vertical-motion benchmark for exposure and observability closure.,"{""id"":null,""bbox"":[[10.0,44.0],[13.0,46.0]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-UP""}"
po_venice_broad,Po Basin and Venice,A,EGMS benchmark for Po/Venice LiCSAR observability bias,European high-quality benchmark overlapping the Po delta and Venice subsidence literature.,l3_ortho_east,Optional horizontal component sanity check for coastal/delta deformation interpretation.,"{""id"":null,""bbox"":[[10.0,44.0],[13.0,46.0]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-EAST""}"
po_venice_broad,Po Basin and Venice,A,EGMS benchmark for Po/Venice LiCSAR observability bias,European high-quality benchmark overlapping the Po delta and Venice subsidence literature.,l2b_calibrated,Optional calibrated-track product for product-bias transfer-function tests.,"{""id"":null,""bbox"":[[10.0,44.0],[13.0,46.0]],""levels"":[""L2B""],""releases"":[""2019-2023""]}"
po_delta_core,Po delta core,A,Core positive-control delta benchmark,Small AOI around the current Po-delta VLM/LiCSAR prototype for fast EGMS closure.,l3_ortho_up,Primary vertical-motion benchmark for exposure and observability closure.,"{""id"":null,""bbox"":[[11.7,44.35],[12.9,45.55]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-UP""}"
po_delta_core,Po delta core,A,Core positive-control delta benchmark,Small AOI around the current Po-delta VLM/LiCSAR prototype for fast EGMS closure.,l3_ortho_east,Optional horizontal component sanity check for coastal/delta deformation interpretation.,"{""id"":null,""bbox"":[[11.7,44.35],[12.9,45.55]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-EAST""}"
po_delta_core,Po delta core,A,Core positive-control delta benchmark,Small AOI around the current Po-delta VLM/LiCSAR prototype for fast EGMS closure.,l2b_calibrated,Optional calibrated-track product for product-bias transfer-function tests.,"{""id"":null,""bbox"":[[11.7,44.35],[12.9,45.55]],""levels"":[""L2B""],""releases"":[""2019-2023""]}"
netherlands_lowlands,Netherlands lowlands,A,Independent EGMS lowland benchmark,Dense European product coverage; separates open-observability bias from purely groundwater framing.,l3_ortho_up,Primary vertical-motion benchmark for exposure and observability closure.,"{""id"":null,""bbox"":[[3.2,50.7],[7.2,53.8]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-UP""}"
netherlands_lowlands,Netherlands lowlands,A,Independent EGMS lowland benchmark,Dense European product coverage; separates open-observability bias from purely groundwater framing.,l3_ortho_east,Optional horizontal component sanity check for coastal/delta deformation interpretation.,"{""id"":null,""bbox"":[[3.2,50.7],[7.2,53.8]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-EAST""}"
netherlands_lowlands,Netherlands lowlands,A,Independent EGMS lowland benchmark,Dense European product coverage; separates open-observability bias from purely groundwater framing.,l2b_calibrated,Optional calibrated-track product for product-bias transfer-function tests.,"{""id"":null,""bbox"":[[3.2,50.7],[7.2,53.8]],""levels"":[""L2B""],""releases"":[""2019-2023""]}"
rhine_core,Rhine-Meuse delta core,B,Specificity control,Current WorldCover-adjusted model weakens Rhine; EGMS can test whether this is product/land-cover confounding.,l3_ortho_up,Primary vertical-motion benchmark for exposure and observability closure.,"{""id"":null,""bbox"":[[3.2,51.0],[5.2,52.35]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-UP""}"
rhine_core,Rhine-Meuse delta core,B,Specificity control,Current WorldCover-adjusted model weakens Rhine; EGMS can test whether this is product/land-cover confounding.,l3_ortho_east,Optional horizontal component sanity check for coastal/delta deformation interpretation.,"{""id"":null,""bbox"":[[3.2,51.0],[5.2,52.35]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-EAST""}"
rhine_core,Rhine-Meuse delta core,B,Specificity control,Current WorldCover-adjusted model weakens Rhine; EGMS can test whether this is product/land-cover confounding.,l2b_calibrated,Optional calibrated-track product for product-bias transfer-function tests.,"{""id"":null,""bbox"":[[3.2,51.0],[5.2,52.35]],""levels"":[""L2B""],""releases"":[""2019-2023""]}"
rhone_delta_core,Rhone delta / Camargue core,A,Land-cover mediated delta benchmark,Strong signal survives WorldCover controls; EGMS tests whether it is a real public-product observability gap.,l3_ortho_up,Primary vertical-motion benchmark for exposure and observability closure.,"{""id"":null,""bbox"":[[4.0,43.2],[5.15,44.05]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-UP""}"
rhone_delta_core,Rhone delta / Camargue core,A,Land-cover mediated delta benchmark,Strong signal survives WorldCover controls; EGMS tests whether it is a real public-product observability gap.,l3_ortho_east,Optional horizontal component sanity check for coastal/delta deformation interpretation.,"{""id"":null,""bbox"":[[4.0,43.2],[5.15,44.05]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-EAST""}"
rhone_delta_core,Rhone delta / Camargue core,A,Land-cover mediated delta benchmark,Strong signal survives WorldCover controls; EGMS tests whether it is a real public-product observability gap.,l2b_calibrated,Optional calibrated-track product for product-bias transfer-function tests.,"{""id"":null,""bbox"":[[4.0,43.2],[5.15,44.05]],""levels"":[""L2B""],""releases"":[""2019-2023""]}"
cyprus_sourcecoop_smoke,Cyprus Source Cooperative smoke test,C,Cloud-native EGMS format smoke test,"Matches the public Source Cooperative sample region; useful for parser development, not a Nature benchmark.",l3_ortho_up,Primary vertical-motion benchmark for exposure and observability closure.,"{""id"":null,""bbox"":[[32.0,34.4],[34.8,35.8]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-UP""}"
cyprus_sourcecoop_smoke,Cyprus Source Cooperative smoke test,C,Cloud-native EGMS format smoke test,"Matches the public Source Cooperative sample region; useful for parser development, not a Nature benchmark.",l3_ortho_east,Optional horizontal component sanity check for coastal/delta deformation interpretation.,"{""id"":null,""bbox"":[[32.0,34.4],[34.8,35.8]],""levels"":[""L3""],""releases"":[""2019-2023""],""productType"":""ORTHO-EAST""}"
cyprus_sourcecoop_smoke,Cyprus Source Cooperative smoke test,C,Cloud-native EGMS format smoke test,"Matches the public Source Cooperative sample region; useful for parser development, not a Nature benchmark.",l2b_calibrated,Optional calibrated-track product for product-bias transfer-function tests.,"{""id"":null,""bbox"":[[32.0,34.4],[34.8,35.8]],""levels"":[""L2B""],""releases"":[""2019-2023""]}"
